Model,Method,Task,Fold,Dimension,Effective_Rank,Embedding_Entropy,Spectral_Radius,Spectral_Gap,Fiedler_Value,ARI,Silhouette,MAE
CGCNN,cgcnn_emb,matbench_jdft2d,0,8,7.895121661338838,2.0681905691796327,16.91929694652873,14.030536577910256,14.031352392390819,-0.0067255827462131814,0.18096100078412294,47.5090217590332
CGCNN,cgcnn_emb,matbench_jdft2d,1,8,7.905497550241696,2.0725907386910536,16.80985036487578,14.181494143149592,13.82172064415735,-0.002006608783962986,0.027665225628486834,60.2819938659668
CGCNN,cgcnn_emb,matbench_jdft2d,2,8,7.87154767007538,2.0711049297673583,16.76817660977174,13.973915993943674,13.672243687282421,0.020818486203332928,0.18213705684708031,76.24305725097656
CGCNN,cgcnn_emb,matbench_jdft2d,3,8,7.910260689720813,2.0674803225302503,16.42227579041985,14.027345306966616,13.866406833265698,-0.009278608697097953,0.17711026322199583,43.12605667114258
CGCNN,cgcnn_emb,matbench_jdft2d,4,8,7.886378203073128,2.072898408013762,17.012674464009624,14.014573091908149,13.917267244907826,0.002019227105901477,0.09566015496791037,56.84969329833984
CGCNN,cgcnn_emb,matbench_phonons,0,8,7.835317515417504,2.057790688247293,13.881101893946282,11.595427349615768,11.290859749170556,-0.015027256620710382,0.1037737593750538,120.85586547851562
CGCNN,cgcnn_emb,matbench_phonons,1,8,7.915797804301418,2.063131585114398,14.058819115750055,11.822660546002796,11.761294062572157,-0.04443603330809993,0.1413103953787298,95.01361083984376
CGCNN,cgcnn_emb,matbench_phonons,2,8,7.860147645606931,2.0728731438465964,13.963944093930111,11.215740009102474,11.042371053338995,0.005904509823882724,0.1926917101911922,107.58792877197266
CGCNN,cgcnn_emb,matbench_phonons,3,8,7.841739729630275,2.0690155964206993,13.901478748058738,11.728077990412839,11.639978706277585,-0.00842273080875503,0.16730582197995686,106.3216552734375
CGCNN,cgcnn_emb,matbench_phonons,4,8,7.850655576140091,2.0723283718145242,13.982073053958473,11.696070901506227,11.64237997666787,0.0018627019338232804,0.2072472327521288,83.64874267578125
